2021-03-24 11:10:58.703296{'uuid': '7fbe0a9e-8cc8-4b60-a08c-a54b6ca4489a', 'side': 'bid', 'ord_type': 'limit', 'price': '319.0', 'state': 'wait', 'market': 'KRW-LBC', 'created_at': '2021-03-24T20:10:58+09:00', 'volume': '31.34796238', 'remaining_volume': '31.34796238', 'reserved_fee': '4.99999999961', 'remaining_fee': '4.99999999961', 'paid_fee': '0.0', 'locked': '10004.99999921961', 'executed_volume': '0.0', 'trades_count': 0}
2021-03-24 11:12:16.654439{'uuid': '7dcbbbd7-9973-48b9-874e-8c3bbbd52f05', 'side': 'bid', 'ord_type': 'limit', 'price': '2495.0', 'state': 'wait', 'market': 'KRW-PCI', 'created_at': '2021-03-24T20:12:16+09:00', 'volume': '4.00801603', 'remaining_volume': '4.00801603', 'reserved_fee': '4.999999997425', 'remaining_fee': '4.999999997425', 'paid_fee': '0.0', 'locked': '10004.999994847425', 'executed_volume': '0.0', 'trades_count': 0}
2021-03-24 11:16:57.816581{'uuid': '37afd331-afaa-43fe-952b-9b2a6c3130c5', 'side': 'bid', 'ord_type': 'limit', 'price': '233300.0', 'state': 'wait', 'market': 'KRW-LTC', 'created_at': '2021-03-24T20:16:57+09:00', 'volume': '0.04286326', 'remaining_volume': '0.04286326', 'reserved_fee': '4.999999279', 'remaining_fee': '4.999999279', 'paid_fee': '0.0', 'locked': '10004.998557279', 'executed_volume': '0.0', 'trades_count': 0}
2021-03-24 11:31:41.199131{'uuid': 'f3c71410-dba4-4529-bb42-94f88e607096', 'side': 'bid', 'ord_type': 'limit', 'price': '8.3', 'state': 'wait', 'market': 'KRW-NPXS', 'created_at': '2021-03-24T20:31:41+09:00', 'volume': '1250.0', 'remaining_volume': '1250.0', 'reserved_fee': '5.1875', 'remaining_fee': '5.1875', 'paid_fee': '0.0', 'locked': '10380.1875', 'executed_volume': '0.0', 'trades_count': 0}
2021-03-24 11:31:59.678522{'uuid': 'b0910aa6-a317-498e-94d0-0246efaaf27c', 'side': 'bid', 'ord_type': 'limit', 'price': '1930.0', 'state': 'wait', 'market': 'KRW-ZRX', 'created_at': '2021-03-24T20:31:59+09:00', 'volume': '5.18134715', 'remaining_volume': '5.18134715', 'reserved_fee': '4.99999999975', 'remaining_fee': '4.99999999975', 'paid_fee': '0.0', 'locked': '10004.99999949975', 'executed_volume': '0.0', 'trades_count': 0}
2021-03-24 11:40:41.003741{'uuid': '410f1fd4-84fa-4d3e-89a6-9ad3b4ee633a', 'side': 'bid', 'ord_type': 'limit', 'price': '66.8', 'state': 'wait', 'market': 'KRW-DOGE', 'created_at': '2021-03-24T20:40:40+09:00', 'volume': '151.51515151', 'remaining_volume': '151.51515151', 'reserved_fee': '5.060606060434', 'remaining_fee': '5.060606060434', 'paid_fee': '0.0', 'locked': '10126.272726928434', 'executed_volume': '0.0', 'trades_count': 0}
2021-03-24 11:45:02.075096{'uuid': '2a807e46-1723-4d4e-8e83-43bd68a05365', 'side': 'bid', 'ord_type': 'limit', 'price': '4.0', 'state': 'wait', 'market': 'KRW-BTT', 'created_at': '2021-03-24T20:45:02+09:00', 'volume': '2500.0', 'remaining_volume': '2500.0', 'reserved_fee': '5.0', 'remaining_fee': '5.0', 'paid_fee': '0.0', 'locked': '10005.0', 'executed_volume': '0.0', 'trades_count': 0}
2021-03-24 11:58:21.766754{'uuid': 'c4cf7410-f1b2-4d24-a732-4f32f25b1e9b', 'side': 'bid', 'ord_type': 'limit', 'price': '259.0', 'state': 'wait', 'market': 'KRW-ORBS', 'created_at': '2021-03-24T20:58:21+09:00', 'volume': '38.61003861', 'remaining_volume': '38.61003861', 'reserved_fee': '4.999999999995', 'remaining_fee': '4.999999999995', 'paid_fee': '0.0', 'locked': '10004.999999989995', 'executed_volume': '0.0', 'trades_count': 0}
2021-03-24 12:06:22.305934{'uuid': '8d194112-8bb9-46ae-9690-22ee281acd3c', 'side': 'bid', 'ord_type': 'limit', 'price': '108.0', 'state': 'wait', 'market': 'KRW-VET', 'created_at': '2021-03-24T21:06:22+09:00', 'volume': '92.59259259', 'remaining_volume': '92.59259259', 'reserved_fee': '4.99999999986', 'remaining_fee': '4.99999999986', 'paid_fee': '0.0', 'locked': '10004.99999971986', 'executed_volume': '0.0', 'trades_count': 0}
2021-03-24 12:20:06.634581{'uuid': 'afcab829-f260-4b9a-a6aa-26e4b4a3423a', 'side': 'bid', 'ord_type': 'limit', 'price': '733.0', 'state': 'wait', 'market': 'KRW-SAND', 'created_at': '2021-03-24T21:20:06+09:00', 'volume': '13.6425648', 'remaining_volume': '13.6425648', 'reserved_fee': '4.9999999992', 'remaining_fee': '4.9999999992', 'paid_fee': '0.0', 'locked': '10004.9999983992', 'executed_volume': '0.0', 'trades_count': 0}
